iter	RMSE
0	14.42750983
1	13.95565598
2	13.49953098
3	13.08591245
4	12.65326345
5	12.29664034
6	11.95280664
7	11.64519221
8	11.31095284
9	10.97299106
10	10.65539572
11	10.3936927
12	10.1092228
13	9.843646453
14	9.588677029
15	9.339793734
16	9.110671698
17	8.904250816
18	8.701828033
19	8.523993735
20	8.359540367
21	8.198634691
22	8.033985509
23	7.876548184
24	7.746456866
25	7.611221451
26	7.476421221
27	7.354399543
28	7.255762993
29	7.152912649
30	7.049939732
31	6.961591294
32	6.86927527
33	6.789588785
34	6.699294913
35	6.619923032
36	6.546084309
37	6.475017834
38	6.407659151
39	6.344910035
40	6.289460809
41	6.245942089
42	6.188531765
43	6.145918864
44	6.097107742
45	6.060560911
46	6.018683876
47	5.979508392
48	5.934762264
49	5.895790213
50	5.860393369
51	5.827495305
52	5.792360303
53	5.755787603
54	5.72564959
55	5.700891865
56	5.677007543
57	5.655768276
58	5.632037086
59	5.612488368
60	5.589940723
61	5.56503021
62	5.544287096
63	5.519304444
64	5.502154821
65	5.48598309
66	5.466043733
67	5.446108826
68	5.433027069
69	5.414520682
70	5.400030986
71	5.381330857
72	5.36466192
73	5.351491093
74	5.340129479
75	5.326828595
76	5.317500326
77	5.307485338
78	5.299972918
79	5.286917311
80	5.281781683
81	5.271323895
82	5.26216205
83	5.252418321
84	5.248415415
85	5.241507994
86	5.238586606
87	5.224436498
88	5.215071668
89	5.206930946
90	5.198885157
91	5.191102053
92	5.179179444
93	5.167265205
94	5.162164881
95	5.156106343
96	5.145041333
97	5.13846661
98	5.130127224
99	5.123594576
