iter	Passed	Remaining
0	3	332
1	7	343
2	10	342
3	13	326
4	16	315
5	20	313
6	22	299
7	25	287
8	27	278
9	29	263
10	30	249
11	32	239
12	36	241
13	37	232
14	39	223
15	41	216
16	42	209
17	44	203
18	46	197
19	48	192
20	49	187
21	51	183
22	53	179
23	56	178
24	57	173
25	59	169
26	61	165
27	63	162
28	65	159
29	66	155
30	68	152
31	70	149
32	71	146
33	73	143
34	79	148
35	83	147
36	86	147
37	92	151
38	96	150
39	99	149
40	101	146
41	103	142
42	104	139
43	106	135
44	107	131
45	109	128
46	110	125
47	112	121
48	113	118
49	115	115
50	116	112
51	118	109
52	120	106
53	121	103
54	123	100
55	124	97
56	126	95
57	127	92
58	129	89
59	130	86
60	132	84
61	134	82
62	135	79
63	136	77
64	138	74
65	139	72
66	141	69
67	142	67
68	144	64
69	146	62
70	148	60
71	149	58
72	151	56
73	153	54
74	155	51
75	157	49
76	159	47
77	161	45
78	163	43
79	165	41
80	166	39
81	168	36
82	170	34
83	172	32
84	173	30
85	175	28
86	177	26
87	179	24
88	181	22
89	183	20
90	185	18
91	187	16
92	189	14
93	191	12
94	193	10
95	195	8
96	197	6
97	198	4
98	201	2
99	203	0
