iter	Passed	Remaining
0	1225	1224356
1	1229	613344
2	1232	409489
3	1235	307691
4	1238	246481
5	1241	205753
6	1246	176888
7	1249	154892
8	1251	137781
9	1253	124085
10	1293	116293
11	1295	106657
12	1297	98500
13	1299	91509
14	1301	85455
15	1307	80402
16	1309	75716
17	1311	71554
18	1314	67874
19	1317	64535
20	1319	61504
21	1321	58745
22	1323	56225
23	1325	53914
24	1364	53198
25	1366	51180
26	1368	49313
27	1370	47579
28	1372	45970
29	1378	44583
30	1381	43173
31	1383	41846
32	1385	40599
33	1387	39431
34	1393	38428
35	1395	37379
36	1398	36387
37	1400	35445
38	1402	34555
39	1404	33708
40	1410	32984
41	1412	32215
42	1414	31488
43	1416	30787
44	1419	30116
45	1424	29538
46	1426	28924
47	1429	28345
48	1431	27781
49	1433	27240
50	1436	26722
51	1442	26302
52	1444	25816
53	1447	25359
54	1449	24910
55	1451	24475
56	1457	24116
57	1459	23709
58	1462	23318
59	1464	22943
60	1466	22578
61	1472	22284
62	1477	21968
63	1479	21632
64	1481	21312
65	1487	21051
66	1489	20747
67	1492	20450
68	1494	20161
69	1496	19883
70	1502	19657
71	1504	19394
72	1506	19135
73	1509	18885
74	1511	18645
75	1518	18457
76	1520	18223
77	1522	17996
78	1525	17782
79	1527	17565
80	1532	17387
81	1534	17180
82	1536	16979
83	1539	16783
84	1540	16586
85	1542	16398
86	1549	16256
87	1551	16077
88	1556	15928
89	1558	15756
90	1565	15634
91	1567	15473
92	1570	15312
93	1571	15150
94	1574	14995
95	1580	14883
96	1588	14784
97	1590	14636
98	1593	14499
99	1595	14357
100	1597	14216
101	1599	14079
102	1601	13944
103	1611	13883
104	1613	13756
105	1616	13629
106	1622	13540
107	1624	13418
108	1626	13298
109	1629	13180
110	1631	13063
111	1637	12981
112	1639	12867
113	1641	12755
114	1643	12645
115	1645	12537
116	1647	12431
117	1654	12370
118	1657	12269
119	1662	12189
120	1669	12128
121	1671	12031
122	1674	11937
123	1676	11844
124	1679	11753
125	1681	11664
126	1683	11574
127	1685	11485
128	1688	11398
129	1715	11483
130	1717	11395
131	1720	11310
132	1722	11228
133	1729	11174
134	1731	11094
135	1733	11014
136	1736	10941
137	1742	10886
138	1745	10810
139	1747	10735
140	1750	10663
141	1758	10625
142	1760	10551
143	1762	10479
144	1765	10409
145	1767	10338
146	1769	10269
147	1773	10207
148	1775	10142
149	1793	10160
150	1795	10093
151	1797	10026
152	1799	9962
153	1801	9897
154	1803	9832
155	1805	9768
156	1807	9705
157	1814	9668
158	1816	9607
159	1818	9549
160	1821	9494
161	1920	9935
162	1926	9894
163	1929	9836
164	1934	9790
165	1965	9873
166	1969	9821
167	1971	9762
168	1982	9750
169	1985	9692
170	1992	9657
171	1994	9601
172	1997	9546
173	1999	9490
174	2001	9434
175	2005	9387
176	2012	9359
177	2015	9305
178	2017	9252
179	2019	9198
180	2024	9159
181	2026	9107
182	2028	9057
183	2030	9006
184	2033	8957
185	2035	8907
186	2041	8875
187	2043	8826
188	2046	8780
189	2049	8735
190	2058	8718
191	2061	8675
192	2063	8628
193	2065	8581
194	2071	8550
195	2074	8509
196	2076	8463
197	2078	8419
198	2080	8374
199	2086	8344
200	2088	8300
201	2089	8256
202	2092	8214
203	2094	8171
204	2096	8128
205	2100	8095
206	2101	8052
207	2103	8009
208	2105	7967
209	2106	7925
210	2108	7883
211	2111	7847
212	2114	7810
213	2115	7770
214	2117	7730
215	2118	7690
216	2120	7651
217	2122	7612
218	2123	7573
219	2126	7538
220	2127	7500
221	2129	7462
222	2131	7425
223	2132	7388
224	2134	7351
225	2141	7334
226	2143	7300
227	2156	7302
228	2158	7266
229	2160	7232
